"","Financials","Information Technology","date"
"109",3.15871361230951,4.68269142003296,2019-10-31
"110",3.31293870442093,5.02511877331459,2019-11-29
"111",3.36419254653686,5.1255906082626,2019-12-31
"112",3.50234024063405,5.41501188414839,2019-02-28
"113",3.40506549342457,5.54015610214972,2019-03-29
"114",3.66365764946542,5.86297987172358,2019-04-30
"115",3.4935107128991,5.45142567397926,2019-05-31
"116",3.70167087864496,5.89522039027571,2019-06-28
"117",3.81242982324424,5.93249440313935,2019-07-31
"118",3.64743832737367,5.89637263630251,2019-08-30
"119",3.80616631174216,5.97576605224271,2019-09-30
"120",3.84636477638978,6.34392466907263,2020-01-23
"121",3.8865837305458,6.19642643547245,2020-10-30
"122",4.5002175100422,7.07676751380119,2020-11-30
"123",4.78952602357407,7.59947514341997,2020-12-31
"124",4.16807868206447,6.55170344103975,2020-02-28
"125",3.2066996134892,5.80031525348324,2020-03-31
"126",3.52656904528152,6.42046552270064,2020-04-30
"127",3.66854288623629,6.77901469515652,2020-05-29
"128",3.69724282304855,6.87364593017184,2020-06-30
"129",3.8184355088837,7.12713869848361,2020-07-31
"130",3.93097502285912,7.42815305252366,2020-08-31
"131",3.80162491721689,7.17589605612858,2020-09-30
"132",3.70426602437219,6.97335377381768,2021-01-29
"133",3.94079387664571,7.47697409701788,2021-10-29
"134",3.73452097316424,7.50512158756502,2021-11-30
"135",3.89387838931099,8.13258905589244,2021-12-31
"136",4.32700672123848,8.43722121565839,2021-02-26
"137",4.57979763639154,9.06519552194395,2021-03-31
"138",4.90457625048618,9.53534477950724,2021-04-30
"139",5.05603479875565,9.89044109583291,2021-05-31
"140",4.88242714931068,10.1518831003114,2021-06-30
"141",4.90021256264181,10.5706114713385,2021-07-30
"142",5.1457939161752,10.8798999138941,2021-08-31
"143",5.00628192487331,10.3575053295658,2021-09-30
"144",5.0227455348002,9.20544365907969,2022-01-28
"145",5.64530926936387,10.1822869793441,2022-10-31
"146",5.95580009431532,11.0153710561589,2022-11-30
"147",5.65290411391607,10.2942644010704,2022-12-30
"148",5.6822756677015,10.3614812142085,2022-02-28
"149",5.65837635860026,10.7518819678411,2022-03-31
"150",5.1792740453054,9.76140457487753,2022-04-29
"151",5.33304558952116,10.0477871742301,2022-05-31
"152",4.85082465517894,8.80847212581631,2022-06-30
"153",5.11773551765119,9.80616168638983,2022-07-29
"154",5.00288031755939,9.39145565690349,2022-08-31
"155",4.64424246986497,8.39184511222052,2022-09-30
"156",4.99564824520653,8.98738882225129,2023-01-31
"157",4.89149396091597,8.81583558045372,2023-10-31
"158",5.43945286563018,10.0010359273279,2023-11-30
"159",5.77002716010608,10.4348284594747,2023-12-29
"160",5.64725354703893,10.205162246343,2023-02-28
"161",5.04353533849731,10.5959689340808,2023-03-31
"162",5.11007594936602,10.3738027438243,2023-04-28
"163",4.83341645161833,10.8209776079388,2023-05-31
"164",5.1524304025034,11.5477111497771,2023-06-30
"165",5.47315258025472,11.965315177564,2023-07-31
"166",5.26501684556235,12.0234675967504,2023-08-31
"167",5.15593228234962,11.4562945335615,2023-09-28
"168",5.27607885878958,11.7657884563466,2024-01-31
"169",5.41687114306572,12.3395590514052,2024-02-29
"170",5.74300071736745,12.549189033372,2024-03-29
"171",5.74300071736745,12.549189033372,2024-04-01
